,State,School,Num Applications,In State Application %,Out of State %,Men Application %,Women Application %,Num Matriculants,In State Matriculant %,Out of State Matriculant %,Men Matriculant %,Women Matriculant %,Average GPA,Average MCAT,label
56,MA,Tufts,14105.0,8.2,91.8,41,58.8,200.0,22,78,39.5,60,3.71,514.0,2
57,MD,Johns Hopkins,6350.0,6.1,93.9,47.3,52.5,118.0,7.6,92.4,45.8,54.2,3.95,522.0,0
58,MD,Maryland,6017.0,16.1,83.9,43,56.9,143.0,71.3,28.7,37.8,61.5,3.8,515.0,3
59,MD,Uniformed Services-Hebert,2698.0,7.1,92.9,56.6,43.1,169.0,10.1,89.9,49.1,50.3,3.7,509.0,2
60,MI,Central Michigan,7987.0,18,82,44.4,55.5,103.0,76.7,23.3,46.6,53.4,3.69,508.0,1
61,MI,Michigan,9399.0,13.2,86.8,47.1,52.7,168.0,42.9,57.1,40.5,59.5,3.72,515.0,2
62,MI,Michigan State,9211.0,18.1,81.9,43.8,56.1,190.0,84.7,15.3,41.1,58.4,3.77,510.0,3
63,MI,Oakland Beaumont,7725.0,19.2,80.8,45.3,54.5,125.0,48,52,40,60,3.85,509.0,3
64,MI,Wayne State,8016.0,21.6,78.4,46.2,53.7,300.0,64,36,48,52,3.8,514.0,3
65,MI,Western Michigan-Stryker,4301.0,27.8,72.2,49.1,50.8,86.0,36,64,43,57,3.77,513.0,2
66,MN,Mayo-Alix,5067.0,6.4,93.6,52.9,47,104.0,7.7,92.3,46.2,53.8,3.92,520.0,0
67,MN,Minnesota-Twin Cities,5260.0,18,82,46.3,53.5,240.0,82.5,17.5,46.7,53.3,3.72,509.8,1
68,MO,Missouri Columbia,3200.0,19.8,80.2,45.4,54.5,128.0,85.9,14.1,41.4,58.6,3.81,509.0,3
69,MO,Missouri Kansas City,2003.0,18.6,81.4,46.3,53.6,126.0,65.9,34.1,39.7,60.3,3.67,504.0,1
70,MO,Saint Louis,7245.0,6.5,93.5,49.2,50.7,180.0,36.1,63.9,42.8,56.7,3.86,512.22,3
71,MO,Washington U St Louis,6134.0,4.5,95.5,50,49.9,124.0,10.5,89.5,48.4,51.6,3.87,520.3,0
72,MS,Mississippi,421.0,99.3,0.7,40.9,59.1,164.0,99.4,0.6,45.1,54.9,3.7,504.0,1
73,NC,Duke,8613.0,7.3,92.7,45.3,54.5,120.0,11.7,88.3,28.3,71.7,3.9,519.0,0
74,NC,East Carolina-Brody,1156.0,99.7,0.3,43.5,56.3,85.0,100,0,43.5,56.5,3.54,506.0,1
75,NC,North Carolina,6289.0,18.3,81.7,44.7,55.1,190.0,87.9,12.1,41.6,57.9,3.66,512.0,1
76,NC,Wake Forest,11062.0,8.5,91.5,46.4,53.6,145.0,33.1,66.9,42.1,57.9,3.67,512.0,2
77,ND,North Dakota,1894.0,5,95,49.6,50.2,71.0,39.4,60.6,43.7,56.3,3.8,507.0,2
78,NE,Creighton,6383.0,2.5,97.5,52.8,47.1,230.0,5.2,94.8,47.4,52.6,3.83,513.0,0
79,NE,Nebraska,1910.0,13,87,50.9,48.8,132.0,72.7,27.3,47,53,3.85,512.0,3
80,NH,Dartmouth-Geisel,9487.0,1,99,45.5,54.3,92.0,5.4,94.6,44.6,54.3,3.77,516.0,0
81,NJ,Cooper Rowan,5031.0,25.6,74.4,40.6,59.3,110.0,65.5,34.5,40.9,59.1,3.77,511.0,3
82,NJ,Hackensack Meridian,5797.0,21,79,44,55.8,158.0,51.9,48.1,55.7,44.3,3.71,513.0,2
83,NJ,Rutgers New Jersey,5904.0,26.5,73.5,41.4,58.3,176.0,77.8,22.2,43.8,56.3,3.7,514.0,3
84,NJ,Rutgers-RW Johnson,5526.0,27.9,72.1,41.1,58.7,165.0,77.6,22.4,39.4,60.6,3.64,512.0,1
85,NM,New Mexico,1481.0,15.7,84.3,43.3,56.7,103.0,92.2,7.8,35,65,3.71,505.0,1
86,NV,Nevada Reno,1557.0,20.9,79.1,47.5,52.4,70.0,84.3,15.7,48.6,51.4,3.77,509.0,3
